갑작스럽,갑작스럽다,갑작스럽네,갑작스러워,갑작스럽네요,갑작스러워요,갑작스럽습니다
경악,경악하다,경악했네,경악했어,경악했네요,경악했어요,경악했습니다
급작스럽,급작스럽다,급작스럽네,급작스러워,급작스럽네요,급작스러워요,급작스럽습니다
기겁,기겁하다,기겁했네,기겁했어,기겁했네요,기겁했어요,기겁했습니다
기절초풍,기절초풍하다,기절초풍했네,기절초풍했어,기절초풍했네요,기절초풍했어요,기절초풍했습니다
기절,기절하다,기절했네,기절했어,기절했네요,기절했어요,기절했습니다
까무러치,까무러치다,까무러치네,까무러쳐,까무러치네요,까무러쳐요,까무러쳤습니다
당혹,당혹하다,당혹스럽네,당혹스러워,당혹스럽네요,당혹스러워요,당혹스럽습니다
당황,당황하다,당황스럽네,당황스러워,당황스럽네요,당황스러워요,당황스럽습니다
뜨악,뜨악하다,뜨악했네,뜨악했어,뜨악했네요,뜨악했어요,뜨악했습니다
만만찮,만만찮다,만만치않네,만만치않아,만만치않네요,만만치않아요,만만치않습니다
충격받,충격받다,충격받았네,충격받았어,충격받았네요,충격받았어요,충격받았습니다
움찔,움찔하다,움찔했네,움찔했어,움찔했네요,움찔했어요,움찔했습니다
이상,이상하다,이상하네,이상해,이상하네요,이상해요,이상합니다
철렁,철렁하다,철렁했네,철렁했어,철렁했네요,철렁했어요,철렁했습니다
충격적,충격적,충격적이네,충격적이야,충격적이네요,충격적이에요,충격적입니다
흠칫,흠칫하다,흠칫했네,흠칫했어,흠칫했네요,흠칫했어요,흠칫했습니다
격노,격노하다,격노했네,격노했어,격노했네요,격노했어요,격노했습니다
격분,격분하다,격분했네,격분했어,격분했네요,격분했어요,격분했습니다
격앙되,격앙되다,격앙되네,격앙돼,격앙되네요,격앙돼요,격앙됩니다
격양되,격양되다,격양되네,격양돼,격양되네요,격양돼요,격양됩니다
격해지,격해지다,격해지네,격해져,격해지네요,격해져요,격해집니다
괘씸,괘씸하다,괘씸하네,괘씸해,괘씸하네요,괘씸해요,괘씸합니다
굴욕감,굴욕감,굴욕적이네,굴욕적이야,굴욕적이네요,굴욕적이에요,굴욕적입니다
기분나쁘,기분나쁘다,기분나쁘네,기분나빠,기분나쁘네요,기분나빠요,기분나쁩니다
나쁘,나쁘다,나쁘네,나빠,나쁘네요,나빠요,나쁩니다
노여워,노여워하다,노여워하네,노여워해,노여워하네요,노여워해요,노여워합니다
멸시당,멸시당하다,멸시당하네,멸시당해,멸시당하네요,멸시당해요,멸시당합니다
모멸감,모멸감,모멸감드네,모멸감들어,모멸감드네요,모멸감들어요,모멸감듭니다
모욕적,모욕적,모욕적이네,모욕적이야,모욕적이네요,모욕적이에요,모욕적입니다
못되,못되다,못됐네,못됐어,못됐네요,못됐어요,못됐습니다
무시당,무시당하다,무시당했네,무시당했어,무시당했네요,무시당했어요,무시당했습니다
밉,밉다,밉네,미워,밉네요,미워요,밉습니다
버럭,버럭,버럭했네,버럭했어,버럭했네요,버럭했어요,버럭했습니다
분노,분노하다,분노하네,분노해,분노하네요,분노해요,분노합니다
분통터지,분통터지다,분통터지네,분통터져,분통터지네요,분통터져요,분통터집니다
분,분하다,분하네,분해,분하네요,분해요,분합니다
불만스럽,불만스럽다,불만스럽네,불만스러워,불만스럽네요,불만스러워요,불만스럽습니다
불만족,불만족하다,불만족스럽네,불만족스러워,불만족스럽네요,불만족스러워요,불만족스럽습니다
비아냥거리,비아냥거리다,비아냥거리네,비아냥거려,비아냥거리네요,비아냥거려요,비아냥거립니다
삐치,삐치다,삐쳤네,삐쳤어,삐쳤네요,삐쳤어요,삐쳤습니다
속썩이,속썩이다,속썩이네,속썩여,속썩이네요,속썩여요,속썩입니다
신경질적,신경질적,신경질적이네,신경질적이야,신경질적이네요,신경질적이에요,신경질적입니다
심술궂,심술궂다,심술궂네,심술궂어,심술궂네요,심술궂어요,심술궂습니다
야박,야박하다,야박하네,야박해,야박하네요,야박해요,야박합니다
약오르,약오르다,약오르네,약올라,약오르네요,약올라요,약오릅니다
얄밉,얄밉다,얄밉네,얄미워,얄밉네요,얄미워요,얄밉습니다
어이없,어이없다,어이없네,어이없어,어이없네요,어이없어요,어이없습니다
언짢,언짢다,언짢네,언짢아,언짢네요,언짢아요,언짢습니다
울화통,울화통,울화통터지네,울화통터져,울화통터지네요,울화통터져요,울화통터집니다
원망,원망하다,원망스럽네,원망스러워,원망스럽네요,원망스러워요,원망스럽습니다
의심스럽,의심스럽다,의심스럽네,의심스러워,의심스럽네요,의심스러워요,의심스럽습니다
증오,증오하다,증오하네,증오해,증오하네요,증오해요,증오합니다
지랄,지랄하다,지랄하네,지랄해,지랄하네요,지랄해요,지랄합니다
질투,질투하다,질투하네,질투해,질투하네요,질투해요,질투합니다
짜증나,짜증나다,짜증나네,짜증나,짜증나네요,짜증나요,짜증납니다
치떨리,치떨리다,치가 떨리네,치가 떨려,치가 떨리네요,치가 떨려요,치가 떨립니다
치밀어오르,치밀어오르다,치밀어오르네,치밀어올라,치밀어오르네요,치밀어올라요,치밀어오릅니다
치사,치사하다,치사하네,치사해,치사하네요,치사해요,치사합니다
치욕적,치욕적,치욕적이네,치욕적이야,치욕적이네요,치욕적이에요,치욕적입니다
고통스럽,고통스럽다,고통스럽네,고통스러워,고통스럽네요,고통스러워요,고통스럽습니다
죽고싶,죽고싶다,죽고싶네,죽고싶어,죽고싶네요,죽고싶어요,죽고싶습니다
토,토하고싶다,토나오네,토나와,토나오네요,토나와요,토나옵니다
화,화나다,화나네,화나,화나네요,화나요,화납니다
스트레스받,스트레스받다,스트레스받네,스트레스받아,스트레스받네요,스트레스받아요,스트레스받습니다
